Name;Description;Price
Jet Kid Start blue Умные детские часы;Jet Тип: умные часы Материал корпуса: пластик Технология экрана: Монохромный;2310 руб
BAND 6 FOREST GREEN FARA-B19 HUAWEI;Huawei Тип: фитнес браслет Материал корпуса: полимер Технология экрана: AMOLED;5480 руб
Умные часы GT 3 MIL-B19S BLACK HUAWEI;Huawei Тип: умные часы Материал корпуса: пластик Технология экрана: Монохромный;21810 руб
Умные часы GT 3 MIL-B19V BROWN HUAWEI;Huawei Тип: умные часы Материал корпуса: нержавеющая сталь Технология экрана: AMOLED;21810 руб
GT RUNNER-B19S BLACK HUAWEI;Huawei Тип: умные часы Материал корпуса: пластик Технология экрана: AMOLED;27770 руб
GT RUNNER-B19A GREY HUAWEI;Huawei Тип: умные часы Материал корпуса: пластик Технология экрана: AMOLED;27770 руб
Умные часы GT 3 MIL-B19 GOLD HUAWEI;Huawei Тип: умные часы Материал корпуса: нержавеющая сталь, пластик Технология экрана: AMOLED;24230 руб
Умные часы WATCH 3 GALILEO-L11 STEEL;Huawei Тип: умные часы Материал корпуса: металл, керамика Технология экрана:  AMOLED;32600 руб
Умные часы GT 3 JPT-B19V BROWN HUAWEI;Huawei Тип: умные часы Материал корпуса: нержавеющая сталь, пластик Технология экрана: AMOLED;24230 руб
FIT ELEGANT TIA-B29 MIDNIGHT BLACK;Huawei Тип: умные часы Материал корпуса: нержавеющая сталь Технология экрана: AMOLED;11460 руб
GT 2 MATTE BLACK LTN- B19 HUAWEI;Huawei Тип: Смарт-часы Материал корпуса: пластик, металл Технология экрана: AMOLED;15850 руб
GT 2 PEBBLE BROWN LTN-B19 HUAWEI;Huawei Тип: умные часы Материал корпуса: пластик, металл Технология экрана: AMOLED;17070 руб
GT 2 PRO VID-B19 NEBULA GRAY HUAWEI;Huawei Тип: Смарт-часы Материал корпуса: AMOLED Технология экрана: титан;27770 руб
GT 2 PRO VID-B19 NIGHT BLACK HUAWEI;Huawei Тип: Смарт-часы Материал корпуса: титан Технология экрана: AMOLED;24230 руб
FIT ELEGANT TIA-B29 FROSTY WHITE HUAWEI;Huawei Тип: умные часы Материал корпуса: нержавеющая сталь Технология экрана: AMOLED;11460 руб
FIT TIA-B09 GRAPHITE BLACK HUAWEI;Huawei Тип: умные часы Материал корпуса: металл Технология экрана: AMOLED;9040 руб
KIDS 4 PRO ASN-AL10 BLUE HUAWEI;Huawei Тип: Смарт-часы Материал корпуса: пластик Технология экрана: AMOLED;15850 руб
KIDS 4 PRO ASN-AL10 PINK HUAWEI;Huawei Тип: Смарт-часы Материал корпуса: пластик Технология экрана: AMOLED;15850 руб
GT 2 NIGHT BLACK DIANA-B19S HUAWEI;Huawei Тип: Смарт-часы Материал корпуса: пластик, металл Технология экрана: AMOLED;15850 руб
GT 3 JPT-B19S BLACK HUAWEI;Huawei Тип: Смарт-часы Материал корпуса: нержавеющая сталь, пластик Технология экрана: AMOLED;24230 руб
FIT TIA-B09 DISTILLED BLUE HUAWEI;Huawei Тип: умные часы Материал корпуса: пластик, металл Технология экрана: AMOLED;9040 руб
FIT TIA-B09 SAKURA PINK HUAWEI;Huawei Тип: умные часы Материал корпуса: пластик, металл Технология экрана: AMOLED;9040 руб
Часы Medisana Шагомер ViFit Connect;Medisana Тип: датчик Материал корпуса: пластик Технология экрана: OLED;4580 руб
Canyon - CNS-SW82BB;Canyon Тип:  Смарт-часы Материал корпуса: TFT Технология экрана: Монохромный;4840 руб
FLY BLACK G-SM16BLK GEOZON;Geozon Тип: Смарт-часы Материал корпуса: металл Технология экрана: TFT;3880 руб
Canyon - CNS-SW81BG;Canyon Тип: Смарт-часы Материал корпуса: пластик, металл Технология экрана: IPS;4510 руб
MAGIC 2 BLACK 46MM MNS-B39 HONOR;Honor Тип: умные часы Материал корпуса: пластик, металл Технология экрана: AMOLED;11480 руб
BAND FIT PLUS RED G-SM14RED GEOZON;Geozon Тип: фитнес браслет Материал корпуса: пластик Технология экрана: TFT;3790 руб
Mi Smart Band 6;Xiaomi Тип: фитнес браслет Материал корпуса: пластик Технология экрана: AMOLED;4700 руб
Jet Kid Pinkie Pie;Jet Тип:  Смарт-часы Материал корпуса: пластик Технология экрана: TFT;5140 руб
Jet Sport SW-4C 1.54;Jet Тип: Смарт-часы Материал корпуса: металл Технология экрана: IPS;4600 руб
Jet Kid Optimus Prime;Jet Тип: Смарт-часы Материал корпуса: пластик Технология экрана: TFT;6050 руб
